,Id,Price,Year_model,Mileage,Make
446990,452357,16435,2015,7,Chevrolet
182445,182446,27900,2014,50060,Acura
1066570,1071938,35300,2017,26371,Nissan
118840,118841,13790,2013,37478,Chevrolet
1122163,1137292,14990,2016,44999,Toyota
963475,968843,31222,2016,25588,Mazda
450402,455769,15952,2017,14972,Chevrolet
586582,591949,12200,2013,81254,Dodge
404980,410347,7500,2010,111072,Jeep
577201,582568,24495,2014,28572,Dodge
1085888,1099704,44785,2016,58834,Ram
19417,19418,68975,2017,26045,Ford
741635,747002,11022,2012,43814,Honda
30048,30049,30889,2013,57509,Ford
1049998,1055366,17988,2016,16864,Nissan
978375,983743,27999,2015,51190,Mercedes-Benz
958748,964116,17990,2015,64746,Mazda
23673,23674,19991,2011,102537,Ford
273432,273433,17097,2016,25624,Nissan
299757,301586,29999,2015,16148,Ram
525925,531292,21995,1998,42115,Chevrolet
792330,797697,19997,2014,26592,Hyundai
419757,425124,38971,2016,8492,Buick
1035184,1040552,9978,2015,37775,Nissan
543160,548527,17485,2017,5582,Chrysler
1168936,1185456,12499,2008,54791,Toyota
1129451,1144580,11890,2012,85782,Toyota
478036,483403,4681,1999,90511,Chevrolet
788143,793510,9997,2007,134197,Honda
255606,255607,37785,2017,9292,Mercedes-Benz
472723,478090,9688,2015,42908,Chevrolet
189293,189294,10490,2010,143490,BMW
524197,529564,34488,2013,62386,Chevrolet
1211178,1227971,16940,2015,48117,Volvo
903406,908773,13616,2015,30928,Kia
44775,44776,25645,2016,39956,Ford
645154,650521,17995,2011,63405,Ford
1103744,1118873,26999,2017,7756,Subaru
231990,231991,44999,2014,37076,Land
1043218,1048586,18599,2015,42379,Nissan
778093,783460,28113,2016,23587,Honda
536482,541849,46722,2012,29181,Chevrolet
966283,971651,16995,2013,69965,Mercedes-Benz
107837,107838,9995,2002,112157,Chevrolet
426323,431690,21790,2006,64630,Cadillac
303273,307323,8300,2011,90026,Scion
833703,839070,9990,2007,123682,INFINITI
622256,627623,10899,2011,76297,Ford
338767,343774,30998,2016,23920,Toyota
973329,978697,35925,2017,7295,Mercedes-Benz
136162,136163,15475,2016,16207,Chevrolet
122156,122157,10625,2010,126127,Chevrolet
392220,397587,18124,2013,18682,Hyundai
693958,699325,42400,2016,8210,Ford
129088,129089,8495,2013,96652,Chevrolet
1093752,1108881,12999,2014,35147,Subaru
528170,533537,37356,2012,5577,Chevrolet
1132437,1147566,17500,2015,62328,Toyota
785356,790723,17985,2016,16617,Honda
895266,900633,11890,2013,75963,Kia
392509,397876,11500,2011,77732,Hyundai
188232,188233,16900,2011,62463,BMW
448126,453493,12800,2014,29185,Chevrolet
814997,820364,17500,2017,39427,Hyundai
839863,845230,16980,2010,132885,INFINITI
149772,149773,12883,2013,35445,Buick
125817,125818,11911,2016,35182,Chevrolet
17848,17849,23405,2017,31632,GMC
855250,860617,15975,2016,44238,Jeep
419853,425220,19997,2013,88354,Buick
967878,973246,21726,2015,59993,Mercedes-Benz
356616,361981,8995,2009,68858,Volkswagen
1167428,1183904,7599,2005,194906,Toyota
450833,456200,10995,2012,70488,Chevrolet
477711,483078,21990,2016,29119,Chevrolet
59267,59268,8500,2011,58756,Ford
813849,819216,14295,2013,61468,Hyundai
965749,971117,12237,2012,114553,Mercedes-Benz
520941,526308,36995,2015,44976,Chevrolet
1000347,1005715,25890,2016,10499,Mitsubishi
240953,240954,39990,2013,37626,Lexus
841975,847342,48891,2017,16183,INFINITI
368687,374054,19600,2014,42670,Honda
835053,840420,19550,2013,45482,INFINITI
490089,495456,29690,2016,19872,Chevrolet
979827,985195,24991,2014,37217,Mercedes-Benz
664171,669538,21988,2012,77301,Ford
541739,547106,10700,2014,66194,Chrysler
66179,66180,11275,2016,38389,Ford
785712,791079,31999,2016,15036,Honda
157329,157330,29988,2014,16176,BMW
742185,747552,15383,2015,17109,Honda
951326,956694,14985,2015,14065,Mazda
956196,961564,15036,2015,37428,Mazda
1016712,1022080,13500,2014,46780,Nissan
157047,157048,34374,2015,15135,BMW
899479,904846,11289,2014,71969,Kia
705689,711056,42759,2016,10140,Ford
755946,761313,11221,2010,65592,Honda
285719,285720,6499,2007,132725,Nissan
953752,959120,16888,2016,40976,Mazda
161796,161797,27800,2014,23574,BMW
744158,749525,16650,2016,39275,Honda
923898,929265,7999,2006,105127,Lexus
847421,852788,18171,2017,33817,Jeep
136452,136453,12000,2013,32521,Chevrolet
879215,884582,24499,2008,99060,Jeep
176842,176843,14950,2009,94321,Audi
40620,40621,13750,2006,101703,Ford
1030212,1035580,13895,2013,89504,Nissan
35037,35038,26999,2013,50763,Ford
202657,202658,7995,2005,127894,Acura
625694,631061,21000,2015,22088,Ford
740116,745483,11997,2014,24186,Honda
575845,581212,20999,2014,20178,Dodge
835682,841049,26978,2014,40826,INFINITI
119482,119483,16370,2012,31201,Chevrolet
272031,272032,9995,2013,50052,Nissan
1026732,1032100,6995,2010,86067,Nissan
904023,909390,18700,2016,38736,Kia
1193292,1210080,14887,2015,41255,Volkswagen
1173258,1189846,30950,2014,62883,Toyota
968706,974074,26988,2015,19383,Mercedes-Benz
281893,281894,10300,2015,35941,Nissan
259481,259482,35995,2013,62213,Mercedes-Benz
819232,824599,12991,2016,45708,Hyundai
542400,547767,6995,2012,75878,Chrysler
1201887,1218675,18950,2014,14381,Volkswagen
735104,740471,39999,2015,76646,GMC
973842,979210,10995,2008,119747,Mercedes-Benz
362005,367372,16990,2013,23655,Honda
410508,415875,18150,2014,40699,Buick
1108505,1123634,3995,2006,69480,Suzuki
506328,511695,28230,2014,46351,Chevrolet
655295,660662,23500,2013,41611,Ford
609021,614388,15995,2014,36459,Ford
859354,864721,12198,2010,78141,Jeep
1078950,1086584,20988,2015,96692,Ram
846596,851963,15975,2015,24840,Jeep
1000190,1005558,3475,2006,148545,Mitsubishi
362973,368340,17975,2015,39810,Honda
1128406,1143535,11380,2014,103727,Toyota
845213,850580,12990,2016,32036,Jeep
1190084,1206872,11488,2014,35754,Volkswagen
733184,738551,48000,2017,13199,GMC
371399,376766,19187,2012,54028,Honda
991032,996400,69981,2015,18477,Mercedes-Benz
1013270,1018638,18450,2017,6500,Nissan
863489,868856,5995,2004,147407,Jeep
613089,618456,8544,2013,70987,Ford
171812,171813,23398,2015,40547,BMW
344228,349461,17990,2012,47059,Toyota
606545,611912,12000,2013,85511,Ford
1010438,1015806,11250,2014,35745,Nissan
323740,327790,12993,2012,84114,Toyota
757122,762489,15698,2014,71831,Honda
475112,480479,19695,2016,25023,Chevrolet
237171,237172,26800,2013,46622,Lexus
288371,288372,13399,2011,97020,Nissan
312215,316265,6900,2011,59705,Suzuki
767373,772740,16491,2013,37435,Honda
1183799,1200510,7995,2002,189471,Toyota
264873,264874,6999,2013,97122,Mitsubishi
188712,188713,17000,2013,84810,BMW
436165,441532,12000,2016,25221,Chevrolet
76712,76713,25993,2017,6669,Dodge
529131,534498,32994,2011,155674,Chevrolet
287727,287728,14967,2014,42116,Nissan
302174,306148,62999,2016,15093,Ram
504936,510303,32995,2016,21992,Chevrolet
200810,200811,12995,2007,133372,Acura
576099,581466,19750,2017,32211,Dodge
912430,917797,5999,2004,145657,Kia
128957,128958,18500,2017,19457,Chevrolet
683521,688888,35988,2017,17715,Ford
761625,766992,17549,2014,66792,Honda
1010501,1015869,13995,2016,53499,Nissan
1104106,1119235,19995,2013,55269,Subaru
1026445,1031813,19175,2016,38918,Nissan
1197590,1214378,14995,2016,39966,Volkswagen
885001,890368,36000,2014,42770,Jeep
727831,733198,34795,2015,46404,GMC
663650,669017,27490,2014,56333,Ford
909695,915062,21000,2017,26788,Kia
573400,578767,21981,2016,37737,Dodge
34552,34553,17999,2012,142894,Ford
451258,456625,12995,2014,37180,Chevrolet
999189,1004557,8988,2013,89117,Mitsubishi
1112829,1127958,13589,2016,40714,Toyota
443541,448908,13200,2016,44639,Chevrolet
875032,880399,36488,2017,13407,Jeep
801649,807016,8735,2012,73280,Hyundai
1060650,1066018,8988,2011,138775,Nissan
530287,535654,42995,2015,83594,Chevrolet
1040900,1046268,17188,2015,49188,Nissan
824740,830107,12095,2011,112597,Hyundai
618732,624099,18959,2016,13255,Ford
148048,148049,19500,2016,7985,Buick
125066,125067,13500,2012,65645,Chevrolet
1168739,1185256,31500,2015,42503,Toyota
250554,250555,21980,2016,4546,Mazda
623245,628612,17000,2015,21303,Ford
398496,403863,26985,2014,21944,INFINITI
46650,46651,21995,2015,51500,Ford
368454,373821,9500,2009,104260,Honda
135501,135502,17233,2017,28199,Chevrolet
909512,914879,13997,2014,71845,Kia
710205,715572,16988,2013,44727,GMC
936019,941386,24477,2014,40200,Lexus
168613,168614,23995,2014,35924,BMW
742122,747489,14876,2014,13779,Honda
311964,316014,9995,2013,164963,Subaru
315770,319820,12995,2015,38474,Toyota
925132,930499,25000,2014,47335,Lexus
1182736,1199427,38910,2015,50266,Toyota
320263,324313,14546,2012,67087,Toyota
816662,822029,22387,2015,9580,Hyundai
1183265,1199964,46997,2017,25258,Toyota
576840,582207,19944,2016,43909,Dodge
444125,449492,13300,2015,19429,Chevrolet
381533,386900,10995,2014,31220,Hyundai
963436,968804,18498,2015,47227,Mazda
174379,174380,42491,2016,14480,Audi
1141630,1156763,16475,2014,44736,Toyota
1093639,1108768,19987,2013,19654,Subaru
906301,911668,20924,2017,8299,Kia
1250,1251,14499,2013,65029,Ford
897195,902562,18100,2017,25830,Kia
253647,253648,11995,2009,75365,Mercedes-Benz
227844,227845,17992,2015,20909,Kia
146494,146495,20297,2015,27790,Buick
1074767,1080135,64900,2017,4807,Porsche
355719,361084,10995,2012,81181,Volkswagen
832111,837478,8995,2010,146249,INFINITI
516231,521598,37995,2016,9908,Chevrolet
1053780,1059148,19782,2015,38403,Nissan
430120,435487,36988,2016,16339,Cadillac
123223,123224,11000,2012,105928,Chevrolet
829580,834947,24994,2015,28529,Hyundai
1172259,1188835,35594,2016,12381,Toyota
617627,622994,9988,2011,70881,Ford
760123,765490,24168,2017,654,Honda
550676,556043,9999,2012,99067,Chrysler
710941,716308,22200,2017,35967,GMC
428754,434121,35500,2017,3564,Cadillac
513076,518443,28965,2012,84236,Chevrolet
302721,306771,4495,1999,105917,Saturn
998500,1003868,15987,2016,3966,Mitsubishi
170993,170994,21999,2014,25864,BMW
650423,655790,29100,2017,17790,Ford
767657,773024,18998,2014,31294,Honda
19382,19383,11750,2013,132126,GMC
372684,378051,8500,2007,120372,Honda
341175,346343,32561,2015,31133,Toyota
10435,10436,35977,2011,81677,GMC
82933,82934,12439,2013,99236,Dodge
133511,133512,15897,2014,22960,Chevrolet
271734,271735,9495,2011,80420,Nissan
942651,948019,9490,2012,101704,Lincoln
903176,908543,8989,2014,72073,Kia
1200028,1216816,8992,2011,60235,Volkswagen
773030,778397,17991,2013,20927,Honda
579707,585074,12974,2013,79092,Dodge
907959,913326,18536,2015,53650,Kia
309530,313580,23495,2015,39314,Subaru
106644,106645,30250,2016,31891,Chevrolet
1124109,1139238,15300,2014,36861,Toyota
1072134,1077502,3487,2003,259001,Pontiac
724322,729689,25706,2013,94162,GMC
131899,131900,14447,2014,43875,Chevrolet
444855,450222,14995,2017,20383,Chevrolet
917307,922674,9988,2008,102460,Land
1094447,1109576,16999,2016,19322,Subaru
212096,212097,23350,2008,64840,Jeep
401551,406918,57775,2016,20457,INFINITI
681805,687172,33327,2015,34768,Ford
879222,884589,32688,2016,17151,Jeep
492373,497740,27988,2017,24680,Chevrolet
328382,332434,8891,2008,95397,Toyota
1090895,1106024,11970,2013,104970,Scion
1049660,1055028,21999,2014,43647,Nissan
71878,71879,13999,2013,67814,Dodge
138096,138097,58327,2015,25026,Cadillac
429182,434549,20995,2013,82082,Cadillac
1033287,1038655,16988,2016,38648,Nissan
1124244,1139373,14950,2015,60470,Toyota
415430,420797,32506,2017,7493,Buick
808016,813383,12745,2012,70288,Hyundai
1117102,1132231,13999,2014,29784,Toyota
1111468,1126597,16900,2017,15431,Toyota
411774,417141,19988,2015,33790,Buick
1120643,1135772,18400,2017,24985,Toyota
697181,702548,18979,2004,82829,Ford
617001,622368,19763,2015,28442,Ford
424768,430135,24500,2017,18489,Cadillac
795286,800653,13900,2017,22004,Hyundai
740744,746111,13990,2014,26209,Honda
565971,571338,18991,2017,18133,Dodge
889996,895363,14493,2015,25733,Kia
430992,436359,20000,2007,101669,Cadillac
1044002,1049370,11897,2007,106688,Nissan
655144,660511,20987,2012,83755,Ford
297683,297684,88899,2017,3241,Porsche
337949,342835,24576,2016,23474,Toyota
1005454,1010822,15800,2015,10202,Nissan
255747,255748,12995,2008,100962,Mercedes-Benz
740450,745817,16800,2016,13768,Honda
626876,632243,22950,2016,15416,Ford
229355,229356,12254,2012,46883,Kia
88131,88132,12788,2013,86382,Chrysler
1073387,1078755,44977,2014,32988,Porsche
593532,598899,9163,2013,21744,FIAT
789016,794383,36000,2016,23508,Honda
503844,509211,29999,2015,38003,Chevrolet
1177209,1193833,25000,2011,95041,Toyota
612069,617436,12480,2013,70181,Ford
467816,473183,9895,2014,53832,Chevrolet
789387,794754,7900,2008,172030,Honda
338867,343892,27500,2015,34251,Toyota
809499,814866,10999,2016,40258,Hyundai
372606,377973,18491,2011,49695,Honda
1140770,1155900,13694,2017,23294,Toyota
1182809,1199503,8875,2003,194253,Toyota
892283,897650,14994,2015,35090,Kia
947290,952658,30263,2012,34406,Lincoln
456185,461552,12985,2012,66155,Chevrolet
973859,979227,34999,2017,12870,Mercedes-Benz
26708,26709,33500,2015,49089,Ford
98616,98617,41995,2017,4093,Chevrolet
1197123,1213911,17335,2016,18540,Volkswagen
735364,740731,45995,2015,42617,GMC
729069,734436,27377,2011,95829,GMC
661688,667055,24488,2013,57141,Ford
104468,104469,33990,2016,14456,Chevrolet
870930,876297,29480,2016,28831,Jeep
176996,176997,30396,2016,30014,Audi
824030,829397,12995,2012,68873,Hyundai
490859,496226,23301,2015,32010,Chevrolet
1057872,1063240,11990,2006,118015,Nissan
275040,275041,9297,2008,70640,Nissan
1129521,1144650,12990,2014,77320,Toyota
1206847,1223638,5499,2007,97078,Volkswagen
257068,257069,23900,2007,17250,Mercedes-Benz
413849,419216,17488,2015,10985,Buick
534875,540242,43483,2016,47778,Chevrolet
935572,940939,16957,2007,74844,Lexus
83137,83138,10998,2015,21940,Dodge
347560,352895,33588,2014,45067,Toyota
1159150,1175069,19900,2014,81990,Toyota
653022,658389,27590,2016,21638,Ford
275706,275707,13995,2012,47905,Nissan
1174129,1190729,30891,2015,66476,Toyota
936189,941556,37490,2016,7121,Lexus
876299,881666,20997,2016,36457,Jeep
894340,899707,17785,2017,18510,Kia
403990,409357,16900,2016,42223,Jeep
976621,981989,39995,2017,5145,Mercedes-Benz
299673,301423,28500,2015,30194,Ram
959103,964471,4995,2012,137603,Mazda
1087895,1103024,7494,2009,98183,Saturn
78580,78581,19655,2016,21478,Dodge
242949,242950,5988,2011,152495,Lincoln
1056051,1061419,15995,2016,45357,Nissan
398850,404217,29697,2015,30992,INFINITI
351811,357176,15998,2016,4857,Volkswagen
1021026,1026394,10991,2014,56614,Nissan
962474,967842,9581,2006,92378,Mazda
1119194,1134323,16933,2016,14609,Toyota
467695,473062,16980,2015,31137,Chevrolet
754415,759782,15002,2013,40272,Honda
393531,398898,13848,2016,37664,Hyundai
634402,639769,15988,2015,34787,Ford
385463,390830,15500,2015,29028,Hyundai
72532,72533,20995,2010,93782,Dodge
328827,332881,17900,2016,52605,Toyota
226756,226757,7995,2012,89736,Kia
311121,315171,19885,2012,68501,Subaru
6793,6794,14991,2014,13643,Honda
321935,325985,11985,2011,65448,Toyota
494108,499475,25328,2016,38777,Chevrolet
278510,278511,20999,2016,44462,Nissan
862122,867489,15988,2012,72901,Jeep
903794,909161,9998,2012,44170,Kia
8411,8412,56600,2015,39864,GMC
469850,475217,17995,2015,80218,Chevrolet
955616,960984,16344,2013,56532,Mazda
378750,384117,34923,2016,29254,Honda
630595,635962,15890,2014,26751,Ford
790043,795410,16995,2009,122790,Honda
903617,908984,11197,2014,86541,Kia
214260,214261,38777,2016,18734,Jeep
783903,789270,27498,2015,26237,Honda
536582,541949,42995,2006,11565,Chevrolet
137217,137218,56995,2016,14665,Cadillac
851748,857115,21397,2017,19020,Jeep
252048,252049,16995,2012,59938,Mercedes-Benz
132814,132815,9100,2014,99070,Chevrolet
351318,356683,10999,2014,54316,Volkswagen
896544,901911,8395,2012,83848,Kia
155334,155335,29590,2014,51914,BMW
242806,242807,10969,2008,117259,Lincoln
593338,598705,6595,2013,27763,FIAT
998607,1003975,8340,2015,15069,Mitsubishi
65016,65017,12500,2016,41629,Ford
340362,345486,32376,2014,18768,Toyota
683648,689015,24950,2014,84024,Ford
541425,546792,12981,2013,16196,Chrysler
1216172,1232965,42995,2017,12352,Volvo
702835,708202,25988,2005,113520,Ford
630543,635910,21300,2016,35308,Ford
930911,936278,32900,2015,51095,Lexus
284830,284831,17800,2013,45881,Nissan
71954,71955,18994,2011,76809,Dodge
619829,625196,14179,2012,50660,Ford
425072,430439,24295,2015,39817,Cadillac
465903,471270,8995,2007,26151,Chevrolet
146899,146900,18944,2014,32344,Buick
342956,348169,23991,2012,99138,Toyota
981145,986513,26885,2012,40308,Mercedes-Benz
190910,190911,19998,2014,51597,BMW
65966,65967,10450,2014,38881,Ford
666170,671537,25991,2008,69709,Ford
173675,173676,149990,2015,11271,Bentley
670795,676162,24990,2016,35045,Ford
1088415,1103544,2350,2003,130156,Saturn
741235,746602,11966,2015,45000,Honda
1166574,1183027,28995,2016,40295,Toyota
602075,607442,14963,2016,2481,Ford
576340,581707,20989,2017,32188,Dodge
1159503,1175440,24800,2016,37796,Toyota
1200061,1216849,11990,2013,48773,Volkswagen
1188900,1205688,10300,2014,34891,Volkswagen
1086194,1100259,49591,2016,28880,Ram
281137,281138,9750,2009,144966,Nissan
998700,1004068,11595,2011,119110,Mitsubishi
956173,961541,10495,2009,90954,Mazda
29476,29477,33400,2014,33907,Ford
700711,706078,34607,2012,107027,Ford
659758,665125,6431,2006,188327,Ford
660559,665926,10000,2010,133059,Ford
229408,229409,24900,2015,45240,Kia
180695,180696,30995,2015,60758,Acura
1148525,1163756,8999,2008,127825,Toyota
1181117,1197788,34855,2014,52470,Toyota
1107203,1122332,5833,2005,132212,Subaru
349342,354707,12750,2015,8761,Volkswagen
335512,340044,18000,2014,40393,Toyota
771736,777103,23687,2016,24067,Honda
386494,391861,13968,2012,57772,Hyundai
360312,365679,27481,2017,19176,Volvo
844170,849537,34275,2013,41498,Jaguar
1171064,1187625,34883,2017,8213,Toyota
702543,707910,46998,2014,62615,Ford
337598,342429,29650,2016,19798,Toyota
789977,795344,26486,2015,40315,Honda
503517,508884,27687,2015,30931,Chevrolet
164907,164908,28631,2014,36172,BMW
359516,364883,14581,2011,56506,Volvo
1139407,1154537,10000,2010,90733,Toyota
1103565,1118694,26480,2016,16522,Subaru
970271,975639,26977,2015,43578,Mercedes-Benz
933761,939128,30000,2014,43025,Lexus
546874,552241,24900,2017,25965,Chrysler
42348,42349,15895,2013,124553,Ford
926505,931872,10969,2007,108248,Lexus
626178,631545,19978,2016,17859,Ford
83753,83754,8495,2008,147000,Chrysler
564790,570157,13774,2015,41100,Dodge
292586,292587,22995,2015,10365,Nissan
151179,151180,52897,2015,21852,BMW
784023,789390,30998,2016,6190,Honda
1009033,1014401,12490,2017,2799,Nissan
903510,908877,8591,2011,104613,Kia
763414,768781,19900,2015,24518,Honda
296215,296216,4995,2006,108674,Pontiac
474260,479627,16922,2015,53473,Chevrolet
1094018,1109147,20977,2017,11982,Subaru
31206,31207,31445,2014,54396,Ford
1014541,1019909,12991,2014,20430,Nissan
1175468,1192077,32895,2015,48110,Toyota
643170,648537,9997,2015,42878,Ford
246404,246405,14741,2014,25413,Mazda
832778,838145,20884,2015,30312,INFINITI
954580,959948,12972,2014,64671,Mazda
933279,938646,24701,2013,74751,Lexus
1207009,1223800,17496,2014,26157,Volkswagen
170463,170464,25175,2014,24503,BMW
611848,617215,15297,2014,44060,Ford
471396,476763,5999,2012,107676,Chevrolet
867315,872682,19956,2016,25000,Jeep
293523,293524,18995,2012,68745,Nissan
368645,374012,18000,2013,43596,Honda
926939,932306,27500,2014,48547,Lexus
799486,804853,16998,2016,23014,Hyundai
1101872,1117001,26900,2016,12543,Subaru
728592,733959,35995,2015,45340,GMC
127981,127982,16894,2014,25397,Chevrolet
182133,182134,22740,2012,60282,Acura
1160312,1176320,22609,2012,58346,Toyota
465721,471088,12595,2016,36256,Chevrolet
1209093,1225885,19995,2017,7512,Volkswagen
1175090,1191696,17990,2014,55419,Toyota
175061,175062,51990,2016,5428,Audi
371173,376540,18999,2014,59484,Honda
153324,153325,23995,2014,35794,BMW
42874,42875,28000,2016,26617,Ford
609399,614766,13998,2014,46489,Ford
185425,185426,18794,2013,32661,Acura
156270,156271,30900,2014,30557,BMW
1150294,1165581,18991,2013,47919,Toyota
1159169,1175089,6995,2007,156701,Toyota
114252,114253,19890,2015,56396,Chevrolet
1115017,1130146,13800,2015,35977,Toyota
865395,870762,23659,2015,47017,Jeep
805656,811023,15759,2017,31011,Hyundai
1127899,1143028,12999,2013,59654,Toyota
106319,106320,26733,2014,75459,Chevrolet
861399,866766,12995,2008,64785,Jeep
579266,584633,24793,2017,24,Dodge
835932,841299,20995,2013,44099,INFINITI
227940,227941,1999,2006,157848,Kia
93441,93442,49200,2015,33352,Chevrolet
332786,336948,13991,2016,31944,Toyota
911478,916845,25000,2017,20873,Kia
290502,290503,17375,2014,37360,Nissan
446651,452018,6887,2010,48780,Chevrolet
32205,32206,21489,2010,108363,Ford
865918,871285,21491,2012,62825,Jeep
1091655,1106784,15500,2014,43971,Scion
872669,878036,33111,2015,18048,Jeep
935803,941170,6450,2000,149211,Lexus
1180285,1196943,32100,2014,53648,Toyota
142534,142535,19980,2014,69948,Cadillac
649104,654471,22997,2014,42238,Ford
1095923,1111052,23393,2017,3594,Subaru
498847,504214,28594,2014,39796,Chevrolet
663942,669309,24500,2015,77006,Ford
390556,395923,9794,2011,71174,Hyundai
136197,136198,12997,2014,34822,Chevrolet
469376,474743,17498,2016,47796,Chevrolet
1137482,1152611,20000,2015,20255,Toyota
1068598,1073966,19999,2013,53316,Nissan
1048966,1054334,11000,2008,134155,Nissan
1128960,1144089,21100,2016,15511,Toyota
159597,159598,12999,2008,83696,BMW
535262,540629,47062,2014,7475,Chevrolet
234397,234398,21500,2014,56997,Lexus
867259,872626,6991,2012,67890,Jeep
810277,815644,9982,2014,44227,Hyundai
373900,379267,16900,2011,84081,Honda
655599,660966,18400,2010,101043,Ford
615189,620556,16472,2016,22086,Ford
938492,943860,29990,2015,36110,Lexus
437876,443243,10512,2014,35901,Chevrolet
678833,684200,26995,2014,80785,Ford
973241,978609,29719,2017,6076,Mercedes-Benz
60245,60246,16295,2015,26236,Ford
281340,281341,16653,2014,38059,Nissan
11325,11326,13995,2010,108307,GMC
855179,860546,17822,2016,17295,Jeep
137530,137531,36432,2014,60975,Cadillac
1077196,1083405,14957,2011,70927,Ram
815904,821271,12950,2013,43245,Hyundai
499113,504480,6495,2011,122450,Chevrolet
886703,892070,35650,2015,42157,Jeep
452434,457801,9900,2014,116046,Chevrolet
884586,889953,42895,2014,37754,Jeep
602866,608233,16000,2016,43044,Ford
24073,24074,21996,2016,11969,Ford
630281,635648,16491,2014,77711,Ford
1135475,1150604,19900,2015,24487,Toyota
221388,221389,16998,2014,22226,Kia
10313,10314,27999,2013,69275,GMC
1207012,1223803,24227,2014,55072,Volkswagen
826907,832274,23200,2015,55815,Hyundai
304377,308427,12900,2016,3094,smart
1140560,1155690,20997,2016,33348,Toyota
526765,532132,37995,2015,57824,Chevrolet
198812,198813,22106,2011,34478,Audi
1076534,1082049,22991,2017,1230,Ram
90629,90630,13895,2016,46913,Chrysler
1060961,1066329,26341,2017,10550,Nissan
490805,496172,20353,2013,97857,Chevrolet
1001646,1007014,14495,2017,12748,Nissan
267306,267307,10995,2014,17244,Nissan
891257,896624,16495,2016,8391,Kia
645398,650765,20633,2014,67864,Ford
548907,554274,21600,2014,30700,Chrysler
920907,926274,66900,2014,42732,Land
621906,627273,12095,2014,73235,Ford
583679,589046,30180,2017,3989,Dodge
1138310,1153439,20883,2016,22012,Toyota
1023780,1029148,9995,2012,111578,Nissan
266799,266800,11690,2014,31268,Nissan
439055,444422,16900,2017,28438,Chevrolet
71188,71189,20221,2017,28393,Dodge
30896,30897,35947,2016,17634,Ford
1175123,1191729,33572,2015,41475,Toyota
667827,673194,29000,2016,42723,Ford
421978,427345,9900,2013,95160,Cadillac
932352,937719,32995,2015,22527,Lexus
6633,6634,14485,2015,33699,Honda
778588,783955,21988,2015,31822,Honda
848474,853841,17987,2015,26816,Jeep
1179664,1196314,35488,2015,38819,Toyota
919125,924492,39995,2016,3192,Land
288284,288285,32632,2017,4510,Nissan
683323,688690,31900,2013,35923,Ford
1045863,1051231,27858,2017,24432,Nissan
336509,341177,18887,2012,79096,Toyota
1168076,1184578,29500,2014,38681,Toyota
422795,428162,15995,2013,41762,Cadillac
385637,391004,13250,2014,28988,Hyundai
818515,823882,17684,2015,49672,Hyundai
98397,98398,28995,2008,123733,Chevrolet
725901,731268,16250,2009,182188,GMC
396685,402052,9995,2007,10,INFINITI
852309,857676,11990,2013,33522,Jeep
661430,666797,16000,2010,46201,Ford
1119656,1134785,15194,2016,31924,Toyota
759879,765246,14990,2013,66234,Honda
782688,788055,24692,2014,50846,Honda
1093194,1108323,12999,2015,19451,Subaru
502968,508335,10995,2007,148443,Chevrolet
1166450,1182897,31400,2016,21185,Toyota
896743,902110,15995,2014,43009,Kia
1086264,1100380,46978,2017,6115,Ram
266184,266185,13388,2016,30952,Nissan
121153,121154,18950,2015,62031,Chevrolet
390395,395762,5182,2005,89798,Hyundai
993398,998766,9414,2011,92421,MINI
845273,850640,13893,2016,41193,Jeep
651130,656497,19102,2014,27800,Ford
138587,138588,23995,2009,102161,Cadillac
983391,988759,34995,2014,37980,Mercedes-Benz
655071,660438,17777,2014,122252,Ford
129144,129145,17999,2017,17549,Chevrolet
364886,370253,19866,2015,27989,Honda
1173294,1189882,17999,2005,110832,Toyota
703179,708546,40900,2015,87589,Ford
151463,151464,49871,2016,22727,BMW
1064258,1069626,34979,2015,16290,Nissan
336895,341618,29293,2016,31467,Toyota
817960,823327,20988,2017,3828,Hyundai
519072,524439,35000,2015,51737,Chevrolet
817541,822908,20100,2017,24539,Hyundai
52266,52267,16278,2013,43599,Ford
1132325,1147454,7495,2007,106232,Toyota
182626,182627,22441,2015,46840,Acura
1116954,1132083,13491,2014,36463,Toyota
1006155,1011523,13999,2016,32461,Nissan
538074,543441,53995,2017,35614,Chevrolet
1136532,1151661,10990,2012,88759,Toyota
45159,45160,13426,2006,94190,Ford
76631,76632,13618,2013,122781,Dodge
883540,888907,31274,2013,34590,Jeep
355300,360665,18299,2014,15268,Volkswagen
963784,969152,36900,2016,8399,Mazda
367778,373145,17595,2014,46919,Honda
823800,829167,20888,2014,34019,Hyundai
623227,628594,8798,2013,118983,Ford
622194,627561,12991,2014,77756,Ford
643443,648810,20295,2015,16074,Ford
1063177,1068545,18980,2014,41973,Nissan
914725,920092,21575,2015,24442,Kia
2530,2531,15995,2015,25312,Honda
382161,387528,11488,2016,41029,Hyundai
597898,603265,7991,2013,38108,Ford
300529,302964,33985,2016,32972,Ram
41952,41953,8923,2015,66013,Ford
407493,412860,9499,2012,97945,Jeep
489977,495344,20995,2014,53146,Chevrolet
840158,845525,39875,2017,3035,INFINITI
396046,401413,13920,2010,29988,Hyundai
80838,80839,11480,2014,28288,Dodge
239075,239076,34976,2015,32698,Lexus
78073,78074,12883,2013,46633,Dodge
596267,601634,13794,2016,38910,Ford
